T,M,Time
1,1,1.024173
1,10,30.534072
1,20,45.502700
1,30,67.202509
1,40,90.114708
1,50,115.185126
1,100,244.426703
10,1,0.342268
10,10,1.747529
10,20,3.963481
10,30,7.331219
10,40,9.632835
10,50,10.990499
10,100,22.183581
20,1,0.359000
20,10,0.981466
20,20,2.133667
20,30,2.976883
20,40,3.991273
20,50,5.104256
20,100,12.205181
